home_team,away_team,mean_spread_away_minus_home,home_win_prob,spread_away_minus_home_bart,avg_result
Richmond,Saint Joseph's,-12.4655,0.753,-17.097812847407862,-14.781656423703932
Florida Atlantic,Memphis,-8.408999999999999,0.6365,0.2724890409527296,-4.068255479523635
Detroit Mercy,Cleveland St.,1.7355,0.357,-9.604056010611451,-3.9342780053057256
Iona,Canisius,-8.386,0.651,-15.80428997369414,-12.09514498684707
Rice,Charlotte,-1.1125,0.428,4.776880795379763,1.8321903976898817
East Carolina,UAB,0.5390000000000001,0.3785,19.644624397993177,10.091812198996589
Saint Peter's,Merrimack,-0.1629999999999998,0.4105,0.6756800600472851,0.25634003002364264
Sacred Heart,Quinnipiac,-8.8265,0.643,15.44985320359151,3.3116766017957557
Green Bay,Northern Kentucky,-0.77,0.4175,-2.24369530662157,-1.506847653310785
Robert Morris,Purdue Fort Wayne,0.49250000000000016,0.383,-11.704426901593743,-5.605963450796872
Mount St. Mary's,Siena,-1.618,0.4435,3.789717815552571,1.0858589077762852
Rider,Marist,2.7859999999999996,0.3115,19.369865468284,11.077932734142
Manhattan,Niagara,-6.261,0.5915,-10.336502563193363,-8.298751281596681
Wichita St.,North Texas,-7.2285,0.6135,-7.660216469465719,-7.44435823473286
Oakland,Wright St.,-6.7255,0.584,-0.7321889650464678,-3.728844482523234
UCF,Cincinnati,-10.356,0.701,-7.501823995429105,-8.928911997714552
Rutgers,Northwestern,0.8180000000000001,0.3605,14.079711528780546,7.448855764390273
Washington,Ohio St.,-0.8075000000000001,0.426,1.404999200068392,0.29874960003419593
